W0325 21:09:57.231000 771320 torch/distributed/run.py:852] 
W0325 21:09:57.231000 771320 torch/distributed/run.py:852] *****************************************
W0325 21:09:57.231000 771320 torch/distributed/run.py:852] Setting OMP_NUM_THREADS environment variable for each process to be 1 in default, to avoid your system being overloaded, please further tune the variable for optimal performance in your application as needed. 
W0325 21:09:57.231000 771320 torch/distributed/run.py:852] *****************************************
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 68200.07it/s]
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 66052.03it/s]
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 65793.00it/s]
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 68200.07it/s]
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 8342.72it/s]
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 61230.72it/s]
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 58052.65it/s]
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 14110.36it/s]
logs/sweep_muon0.010_stretch2.0_peak1.73.txt
74
Compiling model and warming up kernels (~7 minutes on first execution)
Sampling steps [0, 1, 391, 392, 393, 783, 784, 785, 1174, 1175, 1176, 1566, 1567, 1568, 1958, 1959, 1960, 2349, 2350, 2351, 2741, 2742, 2743, 3133, 3134, 3135] for warmup
Resetting Model
step:0/4740 val_loss:10.8328 train_time:1ms step_avg:0.99ms
step:1/4740 train_time:84ms step_avg:83.90ms
step:2/4740 train_time:148ms step_avg:74.03ms
step:3/4740 train_time:206ms step_avg:68.59ms
step:4/4740 train_time:293ms step_avg:73.14ms
step:5/4740 train_time:351ms step_avg:70.15ms
step:6/4740 train_time:437ms step_avg:72.76ms
step:7/4740 train_time:495ms step_avg:70.73ms
step:8/4740 train_time:581ms step_avg:72.59ms
step:9/4740 train_time:639ms step_avg:71.05ms
step:10/4740 train_time:725ms step_avg:72.49ms
step:11/4740 train_time:783ms step_avg:71.22ms
step:12/4740 train_time:869ms step_avg:72.45ms
step:13/4740 train_time:928ms step_avg:71.41ms
step:14/4740 train_time:1015ms step_avg:72.51ms
step:15/4740 train_time:1077ms step_avg:71.80ms
step:16/4740 train_time:1164ms step_avg:72.75ms
step:17/4740 train_time:1224ms step_avg:72.00ms
step:18/4740 train_time:1311ms step_avg:72.84ms
step:19/4740 train_time:1369ms step_avg:72.06ms
step:20/4740 train_time:1456ms step_avg:72.78ms
step:21/4740 train_time:1514ms step_avg:72.11ms
step:22/4740 train_time:1601ms step_avg:72.76ms
step:23/4740 train_time:1661ms step_avg:72.20ms
step:24/4740 train_time:1746ms step_avg:72.77ms
step:25/4740 train_time:1805ms step_avg:72.21ms
step:26/4740 train_time:1891ms step_avg:72.75ms
step:27/4740 train_time:1950ms step_avg:72.21ms
step:28/4740 train_time:2036ms step_avg:72.72ms
step:29/4740 train_time:2096ms step_avg:72.27ms
step:30/4740 train_time:2183ms step_avg:72.77ms
step:31/4740 train_time:2243ms step_avg:72.37ms
step:32/4740 train_time:2332ms step_avg:72.86ms
step:33/4740 train_time:2391ms step_avg:72.46ms
step:34/4740 train_time:2478ms step_avg:72.90ms
step:35/4740 train_time:2538ms step_avg:72.51ms
step:36/4740 train_time:2625ms step_avg:72.91ms
step:37/4740 train_time:2684ms step_avg:72.55ms
step:38/4740 train_time:2770ms step_avg:72.90ms
step:39/4740 train_time:2829ms step_avg:72.54ms
step:40/4740 train_time:2915ms step_avg:72.88ms
