W0325 11:09:34.959000 650212 torch/distributed/run.py:852] 
W0325 11:09:34.959000 650212 torch/distributed/run.py:852] *****************************************
W0325 11:09:34.959000 650212 torch/distributed/run.py:852] Setting OMP_NUM_THREADS environment variable for each process to be 1 in default, to avoid your system being overloaded, please further tune the variable for optimal performance in your application as needed. 
W0325 11:09:34.959000 650212 torch/distributed/run.py:852] *****************************************
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 65027.97it/s]
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 68759.08it/s]
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 69615.00it/s]
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 13540.93it/s]
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 67650.06it/s]
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 69615.00it/s]
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 67108.86it/s]
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 10740.86it/s]
logs/sweep_muon0.012_stretch2.0_peak3.0.txt
74
Compiling model and warming up kernels (~7 minutes on first execution)
Sampling steps [0, 1, 391, 392, 393, 783, 784, 785, 1174, 1175, 1176, 1566, 1567, 1568, 1958, 1959, 1960, 2349, 2350, 2351, 2741, 2742, 2743, 3133, 3134, 3135] for warmup
Resetting Model
step:0/4740 val_loss:10.8272 train_time:1ms step_avg:1.02ms
step:1/4740 train_time:97ms step_avg:97.39ms
step:2/4740 train_time:162ms step_avg:81.15ms
step:3/4740 train_time:220ms step_avg:73.36ms
step:4/4740 train_time:306ms step_avg:76.58ms
step:5/4740 train_time:365ms step_avg:73.03ms
step:6/4740 train_time:451ms step_avg:75.10ms
step:7/4740 train_time:510ms step_avg:72.82ms
step:8/4740 train_time:595ms step_avg:74.40ms
step:9/4740 train_time:654ms step_avg:72.69ms
step:10/4740 train_time:740ms step_avg:74.00ms
step:11/4740 train_time:798ms step_avg:72.56ms
step:12/4740 train_time:884ms step_avg:73.63ms
step:13/4740 train_time:942ms step_avg:72.46ms
step:14/4740 train_time:1029ms step_avg:73.48ms
step:15/4740 train_time:1089ms step_avg:72.61ms
step:16/4740 train_time:1177ms step_avg:73.58ms
step:17/4740 train_time:1237ms step_avg:72.77ms
step:18/4740 train_time:1324ms step_avg:73.56ms
step:19/4740 train_time:1384ms step_avg:72.82ms
step:20/4740 train_time:1470ms step_avg:73.51ms
step:21/4740 train_time:1530ms step_avg:72.83ms
step:22/4740 train_time:1616ms step_avg:73.44ms
step:23/4740 train_time:1675ms step_avg:72.83ms
step:24/4740 train_time:1761ms step_avg:73.38ms
step:25/4740 train_time:1820ms step_avg:72.80ms
step:26/4740 train_time:1906ms step_avg:73.30ms
step:27/4740 train_time:1966ms step_avg:72.81ms
step:28/4740 train_time:2052ms step_avg:73.30ms
step:29/4740 train_time:2112ms step_avg:72.81ms
step:30/4740 train_time:2199ms step_avg:73.29ms
step:31/4740 train_time:2257ms step_avg:72.82ms
step:32/4740 train_time:2344ms step_avg:73.27ms
step:33/4740 train_time:2404ms step_avg:72.85ms
step:34/4740 train_time:2491ms step_avg:73.26ms
step:35/4740 train_time:2551ms step_avg:72.88ms
step:36/4740 train_time:2638ms step_avg:73.28ms
step:37/4740 train_time:2698ms step_avg:72.92ms
step:38/4740 train_time:2784ms step_avg:73.28ms
step:39/4740 train_time:2844ms step_avg:72.92ms
step:40/4740 train_time:2930ms step_avg:73.25ms
step:41/4740 train_time:2989ms step_avg:72.90ms
step:42/4740 train_time:3076ms step_avg:73.24ms
step:43/4740 train_time:3135ms step_avg:72.92ms
step:44/4740 train_time:3222ms step_avg:73.24ms
step:45/4740 train_time:3281ms step_avg:72.92ms
step:46/4740 train_time:3368ms step_avg:73.22ms
step:47/4740 train_time:3428ms step_avg:72.93ms
step:48/4740 train_time:3515ms step_avg:73.22ms
step:49/4740 train_time:3574ms step_avg:72.93ms
step:50/4740 train_time:3660ms step_avg:73.19ms
step:51/4740 train_time:3719ms step_avg:72.92ms
step:52/4740 train_time:3805ms step_avg:73.17ms
step:53/4740 train_time:3864ms step_avg:72.91ms
step:54/4740 train_time:3951ms step_avg:73.16ms
step:55/4740 train_time:4011ms step_avg:72.93ms
step:56/4740 train_time:4099ms step_avg:73.19ms
