W0208 18:18:24.840000 2074884 torch/distributed/run.py:852] 
W0208 18:18:24.840000 2074884 torch/distributed/run.py:852] *****************************************
W0208 18:18:24.840000 2074884 torch/distributed/run.py:852] Setting OMP_NUM_THREADS environment variable for each process to be 1 in default, to avoid your system being overloaded, please further tune the variable for optimal performance in your application as needed. 
W0208 18:18:24.840000 2074884 torch/distributed/run.py:852] *****************************************
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 66576.25it/s]
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 63791.70it/s]
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 18416.26it/s]
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 83055.52it/s]
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 18098.40it/s]
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 64776.90it/s]
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 11831.61it/s]
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 62601.55it/s]
logs/sweep_muon0.015_adam0.008.txt
74
Compiling model and warming up kernels (~7 minutes on first execution)
Sampling steps [0, 1, 391, 392, 393, 783, 784, 785, 1174, 1175, 1176, 1566, 1567, 1568, 1958, 1959, 1960, 2349, 2350, 2351, 2741, 2742, 2743, 3133, 3134, 3135] for warmup
Resetting Model
step:0/4740 val_loss:10.8340 train_time:1ms step_avg:0.99ms
step:1/4740 train_time:95ms step_avg:95.20ms
step:2/4740 train_time:162ms step_avg:81.06ms
step:3/4740 train_time:220ms step_avg:73.47ms
step:4/4740 train_time:305ms step_avg:76.29ms
step:5/4740 train_time:365ms step_avg:72.91ms
step:6/4740 train_time:450ms step_avg:74.97ms
step:7/4740 train_time:508ms step_avg:72.61ms
step:8/4740 train_time:594ms step_avg:74.25ms
step:9/4740 train_time:653ms step_avg:72.59ms
step:10/4740 train_time:739ms step_avg:73.90ms
step:11/4740 train_time:797ms step_avg:72.48ms
step:12/4740 train_time:883ms step_avg:73.59ms
step:13/4740 train_time:942ms step_avg:72.50ms
step:14/4740 train_time:1029ms step_avg:73.47ms
step:15/4740 train_time:1088ms step_avg:72.55ms
step:16/4740 train_time:1175ms step_avg:73.46ms
step:17/4740 train_time:1235ms step_avg:72.65ms
step:18/4740 train_time:1321ms step_avg:73.41ms
step:19/4740 train_time:1381ms step_avg:72.67ms
step:20/4740 train_time:1467ms step_avg:73.35ms
step:21/4740 train_time:1527ms step_avg:72.69ms
step:22/4740 train_time:1612ms step_avg:73.28ms
step:23/4740 train_time:1672ms step_avg:72.69ms
step:24/4740 train_time:1758ms step_avg:73.25ms
step:25/4740 train_time:1817ms step_avg:72.69ms
step:26/4740 train_time:1904ms step_avg:73.22ms
step:27/4740 train_time:1963ms step_avg:72.70ms
step:28/4740 train_time:2050ms step_avg:73.22ms
step:29/4740 train_time:2110ms step_avg:72.75ms
step:30/4740 train_time:2197ms step_avg:73.23ms
step:31/4740 train_time:2256ms step_avg:72.78ms
step:32/4740 train_time:2343ms step_avg:73.23ms
step:33/4740 train_time:2403ms step_avg:72.82ms
step:34/4740 train_time:2490ms step_avg:73.23ms
step:35/4740 train_time:2549ms step_avg:72.83ms
step:36/4740 train_time:2635ms step_avg:73.20ms
step:37/4740 train_time:2695ms step_avg:72.84ms
step:38/4740 train_time:2781ms step_avg:73.19ms
step:39/4740 train_time:2841ms step_avg:72.84ms
step:40/4740 train_time:2927ms step_avg:73.17ms
