W0208 21:55:58.238000 2170467 torch/distributed/run.py:852] 
W0208 21:55:58.238000 2170467 torch/distributed/run.py:852] *****************************************
W0208 21:55:58.238000 2170467 torch/distributed/run.py:852] Setting OMP_NUM_THREADS environment variable for each process to be 1 in default, to avoid your system being overloaded, please further tune the variable for optimal performance in your application as needed. 
W0208 21:55:58.238000 2170467 torch/distributed/run.py:852] *****************************************
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 26011.19it/s]
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 14913.08it/s]
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 66576.25it/s]
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 71089.90it/s]
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 60349.70it/s]
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 16513.01it/s]
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 16710.37it/s]
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 70789.94it/s]
logs/sweep_muon0.008_cd0.40.txt
74
Compiling model and warming up kernels (~7 minutes on first execution)
Sampling steps [0, 1, 391, 392, 393, 783, 784, 785, 1174, 1175, 1176, 1566, 1567, 1568, 1958, 1959, 1960, 2349, 2350, 2351, 2741, 2742, 2743, 3133, 3134, 3135] for warmup
Resetting Model
step:0/4740 val_loss:10.8310 train_time:1ms step_avg:1.02ms
step:1/4740 train_time:95ms step_avg:95.22ms
step:2/4740 train_time:163ms step_avg:81.44ms
step:3/4740 train_time:221ms step_avg:73.72ms
step:4/4740 train_time:307ms step_avg:76.78ms
step:5/4740 train_time:367ms step_avg:73.31ms
step:6/4740 train_time:452ms step_avg:75.36ms
step:7/4740 train_time:512ms step_avg:73.08ms
step:8/4740 train_time:597ms step_avg:74.65ms
step:9/4740 train_time:656ms step_avg:72.91ms
step:10/4740 train_time:741ms step_avg:74.13ms
step:11/4740 train_time:800ms step_avg:72.74ms
step:12/4740 train_time:886ms step_avg:73.83ms
step:13/4740 train_time:946ms step_avg:72.76ms
step:14/4740 train_time:1032ms step_avg:73.74ms
step:15/4740 train_time:1093ms step_avg:72.88ms
step:16/4740 train_time:1181ms step_avg:73.83ms
step:17/4740 train_time:1242ms step_avg:73.04ms
step:18/4740 train_time:1328ms step_avg:73.77ms
step:19/4740 train_time:1388ms step_avg:73.03ms
step:20/4740 train_time:1474ms step_avg:73.69ms
step:21/4740 train_time:1532ms step_avg:72.97ms
step:22/4740 train_time:1619ms step_avg:73.60ms
step:23/4740 train_time:1679ms step_avg:72.99ms
step:24/4740 train_time:1764ms step_avg:73.49ms
step:25/4740 train_time:1823ms step_avg:72.94ms
step:26/4740 train_time:1909ms step_avg:73.42ms
step:27/4740 train_time:1969ms step_avg:72.93ms
step:28/4740 train_time:2056ms step_avg:73.43ms
step:29/4740 train_time:2117ms step_avg:72.99ms
step:30/4740 train_time:2203ms step_avg:73.45ms
step:31/4740 train_time:2264ms step_avg:73.03ms
step:32/4740 train_time:2350ms step_avg:73.45ms
step:33/4740 train_time:2410ms step_avg:73.03ms
step:34/4740 train_time:2496ms step_avg:73.42ms
step:35/4740 train_time:2556ms step_avg:73.02ms
step:36/4740 train_time:2642ms step_avg:73.38ms
step:37/4740 train_time:2701ms step_avg:73.01ms
step:38/4740 train_time:2789ms step_avg:73.39ms
step:39/4740 train_time:2849ms step_avg:73.05ms
step:40/4740 train_time:2935ms step_avg:73.36ms
step:41/4740 train_time:2994ms step_avg:73.02ms
step:42/4740 train_time:3080ms step_avg:73.34ms
step:43/4740 train_time:3141ms step_avg:73.04ms
step:44/4740 train_time:3227ms step_avg:73.34ms
step:45/4740 train_time:3287ms step_avg:73.04ms
step:46/4740 train_time:3373ms step_avg:73.33ms
step:47/4740 train_time:3433ms step_avg:73.03ms
step:48/4740 train_time:3519ms step_avg:73.31ms
step:49/4740 train_time:3579ms step_avg:73.04ms
step:50/4740 train_time:3664ms step_avg:73.29ms
step:51/4740 train_time:3724ms step_avg:73.02ms
step:52/4740 train_time:3810ms step_avg:73.27ms
step:53/4740 train_time:3871ms step_avg:73.03ms
step:54/4740 train_time:3957ms step_avg:73.28ms
step:55/4740 train_time:4017ms step_avg:73.04ms
step:56/4740 train_time:4103ms step_avg:73.27ms
step:57/4740 train_time:4163ms step_avg:73.03ms
step:58/4740 train_time:4249ms step_avg:73.26ms
step:59/4740 train_time:4309ms step_avg:73.04ms
step:60/4740 train_time:4396ms step_avg:73.26ms
step:61/4740 train_time:4455ms step_avg:73.03ms
step:62/4740 train_time:4541ms step_avg:73.24ms
step:63/4740 train_time:4601ms step_avg:73.03ms
step:64/4740 train_time:4687ms step_avg:73.23ms
step:65/4740 train_time:4747ms step_avg:73.03ms
step:66/4740 train_time:4834ms step_avg:73.25ms
