W0208 08:06:20.695000 1882079 torch/distributed/run.py:852] 
W0208 08:06:20.695000 1882079 torch/distributed/run.py:852] *****************************************
W0208 08:06:20.695000 1882079 torch/distributed/run.py:852] Setting OMP_NUM_THREADS environment variable for each process to be 1 in default, to avoid your system being overloaded, please further tune the variable for optimal performance in your application as needed. 
W0208 08:06:20.695000 1882079 torch/distributed/run.py:852] *****************************************
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 59918.63it/s]
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 13421.77it/s]
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 10922.67it/s]
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 68759.08it/s]
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 12122.27it/s]
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 11683.30it/s]
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 71392.41it/s]
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 55924.05it/s]
logs/sweep_muon0.015_adam0.008.txt
74
Compiling model and warming up kernels (~7 minutes on first execution)
Sampling steps [0, 1, 391, 392, 393, 783, 784, 785, 1174, 1175, 1176, 1566, 1567, 1568, 1958, 1959, 1960, 2349, 2350, 2351, 2741, 2742, 2743, 3133, 3134, 3135] for warmup
Resetting Model
step:0/4740 val_loss:10.8306 train_time:1ms step_avg:0.82ms
step:1/4740 train_time:93ms step_avg:92.56ms
step:2/4740 train_time:159ms step_avg:79.64ms
step:3/4740 train_time:218ms step_avg:72.52ms
step:4/4740 train_time:303ms step_avg:75.64ms
step:5/4740 train_time:362ms step_avg:72.41ms
step:6/4740 train_time:448ms step_avg:74.67ms
step:7/4740 train_time:507ms step_avg:72.42ms
step:8/4740 train_time:592ms step_avg:74.04ms
step:9/4740 train_time:651ms step_avg:72.38ms
step:10/4740 train_time:737ms step_avg:73.67ms
step:11/4740 train_time:795ms step_avg:72.29ms
step:12/4740 train_time:881ms step_avg:73.44ms
step:13/4740 train_time:940ms step_avg:72.34ms
step:14/4740 train_time:1028ms step_avg:73.44ms
step:15/4740 train_time:1089ms step_avg:72.61ms
step:16/4740 train_time:1176ms step_avg:73.52ms
step:17/4740 train_time:1236ms step_avg:72.68ms
step:18/4740 train_time:1322ms step_avg:73.46ms
step:19/4740 train_time:1381ms step_avg:72.69ms
step:20/4740 train_time:1467ms step_avg:73.35ms
step:21/4740 train_time:1527ms step_avg:72.73ms
step:22/4740 train_time:1613ms step_avg:73.31ms
step:23/4740 train_time:1673ms step_avg:72.74ms
step:24/4740 train_time:1759ms step_avg:73.28ms
step:25/4740 train_time:1818ms step_avg:72.72ms
step:26/4740 train_time:1904ms step_avg:73.21ms
step:27/4740 train_time:1963ms step_avg:72.72ms
step:28/4740 train_time:2050ms step_avg:73.22ms
step:29/4740 train_time:2110ms step_avg:72.77ms
step:30/4740 train_time:2197ms step_avg:73.22ms
step:31/4740 train_time:2257ms step_avg:72.79ms
step:32/4740 train_time:2343ms step_avg:73.22ms
step:33/4740 train_time:2403ms step_avg:72.81ms
step:34/4740 train_time:2489ms step_avg:73.22ms
step:35/4740 train_time:2549ms step_avg:72.83ms
step:36/4740 train_time:2635ms step_avg:73.19ms
step:37/4740 train_time:2694ms step_avg:72.82ms
step:38/4740 train_time:2781ms step_avg:73.20ms
step:39/4740 train_time:2840ms step_avg:72.83ms
step:40/4740 train_time:2926ms step_avg:73.16ms
step:41/4740 train_time:2986ms step_avg:72.83ms
step:42/4740 train_time:3072ms step_avg:73.15ms
step:43/4740 train_time:3132ms step_avg:72.83ms
step:44/4740 train_time:3219ms step_avg:73.15ms
step:45/4740 train_time:3277ms step_avg:72.83ms
step:46/4740 train_time:3364ms step_avg:73.12ms
step:47/4740 train_time:3423ms step_avg:72.83ms
step:48/4740 train_time:3509ms step_avg:73.11ms
step:49/4740 train_time:3569ms step_avg:72.84ms
step:50/4740 train_time:3656ms step_avg:73.12ms
step:51/4740 train_time:3716ms step_avg:72.86ms
step:52/4740 train_time:3802ms step_avg:73.11ms
step:53/4740 train_time:3861ms step_avg:72.85ms
step:54/4740 train_time:3947ms step_avg:73.10ms
step:55/4740 train_time:4007ms step_avg:72.86ms
step:56/4740 train_time:4093ms step_avg:73.08ms
step:57/4740 train_time:4152ms step_avg:72.84ms
step:58/4740 train_time:4238ms step_avg:73.08ms
step:59/4740 train_time:4298ms step_avg:72.85ms
step:60/4740 train_time:4385ms step_avg:73.09ms
step:61/4740 train_time:4446ms step_avg:72.88ms
step:62/4740 train_time:4531ms step_avg:73.09ms
step:63/4740 train_time:4591ms step_avg:72.88ms
step:64/4740 train_time:4678ms step_avg:73.09ms
step:65/4740 train_time:4738ms step_avg:72.89ms
step:66/4740 train_time:4823ms step_avg:73.08ms
step:67/4740 train_time:4883ms step_avg:72.88ms
step:68/4740 train_time:4969ms step_avg:73.07ms
step:69/4740 train_time:5028ms step_avg:72.88ms
step:70/4740 train_time:5115ms step_avg:73.07ms
step:71/4740 train_time:5175ms step_avg:72.89ms
step:72/4740 train_time:5262ms step_avg:73.08ms
step:73/4740 train_time:5321ms step_avg:72.89ms
step:74/4740 train_time:5407ms step_avg:73.07ms
step:75/4740 train_time:5467ms step_avg:72.90ms
step:76/4740 train_time:5553ms step_avg:73.07ms
step:77/4740 train_time:5613ms step_avg:72.89ms
step:78/4740 train_time:5699ms step_avg:73.07ms
step:79/4740 train_time:5759ms step_avg:72.90ms
step:80/4740 train_time:5846ms step_avg:73.07ms
step:81/4740 train_time:5906ms step_avg:72.91ms
step:82/4740 train_time:5992ms step_avg:73.07ms
step:83/4740 train_time:6051ms step_avg:72.91ms
step:84/4740 train_time:6138ms step_avg:73.07ms
step:85/4740 train_time:6197ms step_avg:72.91ms
step:86/4740 train_time:6284ms step_avg:73.07ms
step:87/4740 train_time:6344ms step_avg:72.92ms
step:88/4740 train_time:6430ms step_avg:73.07ms
step:89/4740 train_time:6490ms step_avg:72.92ms
step:90/4740 train_time:6577ms step_avg:73.08ms
step:91/4740 train_time:6636ms step_avg:72.93ms
step:92/4740 train_time:6723ms step_avg:73.08ms
step:93/4740 train_time:6783ms step_avg:72.93ms
step:94/4740 train_time:6869ms step_avg:73.07ms
step:95/4740 train_time:6929ms step_avg:72.93ms
step:96/4740 train_time:7015ms step_avg:73.07ms
step:97/4740 train_time:7074ms step_avg:72.93ms
step:98/4740 train_time:7161ms step_avg:73.07ms
step:99/4740 train_time:7221ms step_avg:72.94ms
step:100/4740 train_time:7306ms step_avg:73.06ms
step:101/4740 train_time:7366ms step_avg:72.93ms
step:102/4740 train_time:7452ms step_avg:73.06ms
step:103/4740 train_time:7512ms step_avg:72.93ms
step:104/4740 train_time:7598ms step_avg:73.06ms
step:105/4740 train_time:7658ms step_avg:72.93ms
step:106/4740 train_time:7744ms step_avg:73.06ms
step:107/4740 train_time:7804ms step_avg:72.93ms
step:108/4740 train_time:7890ms step_avg:73.05ms
step:109/4740 train_time:7949ms step_avg:72.93ms
step:110/4740 train_time:8036ms step_avg:73.05ms
step:111/4740 train_time:8096ms step_avg:72.94ms
step:112/4740 train_time:8182ms step_avg:73.06ms
step:113/4740 train_time:8242ms step_avg:72.94ms
step:114/4740 train_time:8329ms step_avg:73.07ms
step:115/4740 train_time:8389ms step_avg:72.95ms
step:116/4740 train_time:8475ms step_avg:73.06ms
step:117/4740 train_time:8535ms step_avg:72.94ms
step:118/4740 train_time:8622ms step_avg:73.07ms
step:119/4740 train_time:8682ms step_avg:72.96ms
step:120/4740 train_time:8768ms step_avg:73.07ms
step:121/4740 train_time:8827ms step_avg:72.95ms
step:122/4740 train_time:8913ms step_avg:73.06ms
step:123/4740 train_time:8972ms step_avg:72.95ms
step:124/4740 train_time:9059ms step_avg:73.06ms
step:125/4740 train_time:9119ms step_avg:72.95ms
step:126/4740 train_time:9205ms step_avg:73.06ms
step:127/4740 train_time:9266ms step_avg:72.96ms
step:128/4740 train_time:9351ms step_avg:73.06ms
step:129/4740 train_time:9411ms step_avg:72.95ms
step:130/4740 train_time:9498ms step_avg:73.06ms
step:131/4740 train_time:9557ms step_avg:72.96ms
step:132/4740 train_time:9644ms step_avg:73.06ms
step:133/4740 train_time:9703ms step_avg:72.96ms
step:134/4740 train_time:9790ms step_avg:73.06ms
step:135/4740 train_time:9850ms step_avg:72.96ms
step:136/4740 train_time:9936ms step_avg:73.06ms
step:137/4740 train_time:9994ms step_avg:72.95ms
step:138/4740 train_time:10081ms step_avg:73.05ms
step:139/4740 train_time:10140ms step_avg:72.95ms
step:140/4740 train_time:10227ms step_avg:73.05ms
step:141/4740 train_time:10287ms step_avg:72.95ms
step:142/4740 train_time:10373ms step_avg:73.05ms
step:143/4740 train_time:10432ms step_avg:72.95ms
step:144/4740 train_time:10518ms step_avg:73.04ms
step:145/4740 train_time:10578ms step_avg:72.95ms
step:146/4740 train_time:10665ms step_avg:73.05ms
step:147/4740 train_time:10726ms step_avg:72.96ms
step:148/4740 train_time:10811ms step_avg:73.05ms
step:149/4740 train_time:10871ms step_avg:72.96ms
step:150/4740 train_time:10957ms step_avg:73.05ms
step:151/4740 train_time:11016ms step_avg:72.96ms
step:152/4740 train_time:11103ms step_avg:73.04ms
step:153/4740 train_time:11162ms step_avg:72.96ms
step:154/4740 train_time:11249ms step_avg:73.04ms
step:155/4740 train_time:11308ms step_avg:72.95ms
step:156/4740 train_time:11393ms step_avg:73.03ms
step:157/4740 train_time:11452ms step_avg:72.95ms
step:158/4740 train_time:11539ms step_avg:73.03ms
step:159/4740 train_time:11599ms step_avg:72.95ms
step:160/4740 train_time:11685ms step_avg:73.03ms
step:161/4740 train_time:11745ms step_avg:72.95ms
step:162/4740 train_time:11831ms step_avg:73.03ms
step:163/4740 train_time:11890ms step_avg:72.95ms
step:164/4740 train_time:11976ms step_avg:73.03ms
step:165/4740 train_time:12036ms step_avg:72.94ms
step:166/4740 train_time:12121ms step_avg:73.02ms
step:167/4740 train_time:12180ms step_avg:72.94ms
step:168/4740 train_time:12267ms step_avg:73.02ms
step:169/4740 train_time:12326ms step_avg:72.94ms
step:170/4740 train_time:12412ms step_avg:73.01ms
step:171/4740 train_time:12472ms step_avg:72.94ms
step:172/4740 train_time:12558ms step_avg:73.01ms
step:173/4740 train_time:12617ms step_avg:72.93ms
step:174/4740 train_time:12703ms step_avg:73.01ms
step:175/4740 train_time:12763ms step_avg:72.93ms
step:176/4740 train_time:12849ms step_avg:73.01ms
